id;URL;author;author URL;date observed;date observed (timestamp milliseconds);project;current name;original name;family;valid;license;latitude;longitude;comments;images;zone
1012687745;https://identify.plantnet.org/the-plant-list/observations/1012687745;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 17, 2022;1650000000000;the-plant-list;Euphorbia balsamifera Aiton;Euphorbia balsamifera Aiton;Euphorbiaceae;TRUE;cc-by-sa;28,11522823;-16,47290142;;"https://bs.plantnet.org/image/o/a13925f028dcef6218eb831d869cf35deff629f9 (leaf)
https://bs.plantnet.org/image/o/c0bb060b4919a69ea2ffb3526b44cae5e6769857 (habit)";sukkulentenbusch
1012687728;https://identify.plantnet.org/the-plant-list/observations/1012687728;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 17, 2022;1650000000000;the-plant-list;Euphorbia lamarckii Sweet;Euphorbia lamarckii Sweet;Euphorbiaceae;TRUE;cc-by-sa;28,11565816;-16,47274092;;"https://bs.plantnet.org/image/o/548f3509104e62dd47d482727ce083c6d7300801 (leaf)
https://bs.plantnet.org/image/o/e17525460b2b220bf35d4e48f61c4dc072cba52c (flower)
https://bs.plantnet.org/image/o/40622524221167becd435e795f8999b2118f6967 (habit)";sukkulentenbusch
1012687605;https://identify.plantnet.org/the-plant-list/observations/1012687605;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 17, 2022;1650000000000;the-plant-list;Pennisetum setaceum (Forssk.) Chiov.;Pennisetum setaceum (Forssk.) Chiov.;Poaceae;TRUE;cc-by-sa;28,11569377;-16,47067434;;"https://bs.plantnet.org/image/o/d5624b86323a7d988f36ff5a93f2ceca665e5b7a (leaf)
https://bs.plantnet.org/image/o/ac12d2d7409d549520ad224d7f534cd924d9881e (flower)
https://bs.plantnet.org/image/o/c11f1c7a5e42302c6048df61770f514286c62937 (habit)";sukkulentenbusch
1012683300;https://identify.plantnet.org/the-plant-list/observations/1012683300;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 16, 2022;1650000000000;the-plant-list;Launaea arborescens (Batt.) Murb.;Launaea arborescens (Batt.) Murb.;Compositae;TRUE;cc-by-sa;28,17967773;-16,44846126;;"https://bs.plantnet.org/image/o/11130e4b00bdee5596049cbc8481f3186e0e6ab9 (leaf)
https://bs.plantnet.org/image/o/ebf06d3fcd298a241603213c9cd40391b1281a4d (flower)
https://bs.plantnet.org/image/o/0cf66907f34c2321f92ecf0f670db5168ba9aff2 (habit)";sukkulentenbusch
1012683052;https://identify.plantnet.org/the-plant-list/observations/1012683052;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 16, 2022;1650000000000;the-plant-list;Euphorbia lamarckii Sweet;Euphorbia lamarckii Sweet;Euphorbiaceae;TRUE;cc-by-sa;28,17986099;-16,44906625;;"https://bs.plantnet.org/image/o/5cab7ea85d34e09a039aca6464c14e764bd94edf (leaf)
https://bs.plantnet.org/image/o/971f00ff8b6aff942ac24b7ccca54e3ec1d99c1c (habit)
https://bs.plantnet.org/image/o/2cedecdea62cfd3a7536e99ffa7ead35386f82eb (flower)";sukkulentenbusch
1012682519;https://identify.plantnet.org/the-plant-list/observations/1012682519;Kim P.;https://identify.plantnet.org/users/103923240;Mar 16, 2022;1650000000000;the-plant-list;Mesembryanthemum crystallinum L.;Mesembryanthemum crystallinum L.;Aizoaceae;TRUE;cc-by-sa;28,12664084;-16,49488086;;"https://bs.plantnet.org/image/o/622462707d23805db1b4c6212863d204257273e2 (leaf)
https://bs.plantnet.org/image/o/ac36358a5de0cd3e234bc5261cc5e4c98f3457e9 (habit)";sukkulentenbusch
1012682507;https://identify.plantnet.org/the-plant-list/observations/1012682507;Kim P.;https://identify.plantnet.org/users/103923240;Mar 16, 2022;1650000000000;the-plant-list;Mesembryanthemum nodiflorum L.;Mesembryanthemum nodiflorum L.;Aizoaceae;TRUE;cc-by-sa;28,12659147;-16,49488295;;"https://bs.plantnet.org/image/o/85bde2ec2d023df9f049bdc15662de62f377624a (leaf)
https://bs.plantnet.org/image/o/3a1f4dacd46b872c21fc28f74637f10e111b4e27 (habit)";sukkulentenbusch
1012678516;https://identify.plantnet.org/the-plant-list/observations/1012678516;Kim P.;https://identify.plantnet.org/users/103923240;Mar 15, 2022;1650000000000;the-plant-list;Tillandsia usneoides (L.) L.;Tillandsia usneoides (L.) L.;Bromeliaceae;TRUE;cc-by-sa;28,53046987;-16,29537337;;https://bs.plantnet.org/image/o/cff76f0a747edafb2cb8dc5eae5592fb0dd49262 (leaf);loorbeerwald
1012675695;https://identify.plantnet.org/the-plant-list/observations/1012675695;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 14, 2022;1650000000000;the-plant-list;Arbutus canariensis Duhamel;Arbutus canariensis Duhamel;Ericaceae;TRUE;cc-by-sa;28,3889993;-16,52477293;;"https://bs.plantnet.org/image/o/c95d0960ee9d235214948538c7d4b513107ea521 (bark)
https://bs.plantnet.org/image/o/032e0b5df85923c5a25df922316aa1ddb5696ead (leaf)
https://bs.plantnet.org/image/o/1885bb11cefee044a60cb80b0894a5f944b7f5a9 (fruit)
https://bs.plantnet.org/image/o/bfa41a271118f78dd083052d3155e3ad4f9496ea (habit)";thermophilebuschwaelder
1012675672;https://identify.plantnet.org/the-plant-list/observations/1012675672;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 14, 2022;1650000000000;the-plant-list;Juniperus cedrus Webb & Berthel.;Juniperus cedrus Webb & Berthel.;Cupressaceae;TRUE;cc-by-sa;28,38877182;-16,52469465;;"https://bs.plantnet.org/image/o/f98df7652317a88d331ce7475b0e876b20bfefe5 (leaf)
https://bs.plantnet.org/image/o/b3be5a527efa8716c41bd7b11d88ba6848679f46 (habit)";thermophilebuschwaelder
